,City,lat,lon,temp_F,humidity,cloudiness,wind_mph,hemisphere
394,Nome,64.5,-165.41,26.6,79,1,5.32,northern_hem
395,Montevideo,-34.83,-56.17,66.49,34,69,14.99,southern_hem
396,Ures,29.43,-110.4,87.49,31,3,3.0,northern_hem
397,Mantamádos,39.31,26.33,75.2,83,20,4.92,northern_hem
398,Champerico,14.3,-91.92,77.25,78,40,5.12,northern_hem
399,Sola,-13.88,167.55,78.91,84,44,14.94,southern_hem
400,Vao,-22.67,167.48,71.65,85,3,14.23,southern_hem
401,Nishihara,26.18,127.76,79.14,74,75,12.75,northern_hem
402,Lázaro Cárdenas,17.96,-102.2,84.15,73,51,4.05,northern_hem
403,Kirkland Lake,48.14,-80.04,51.8,62,90,9.17,northern_hem
404,Shenjiamen,29.96,122.3,71.37,81,1,13.85,northern_hem
405,Comodoro Rivadavia,-45.87,-67.5,68.0,24,0,16.11,southern_hem
406,Arman',59.7,150.17,39.36,72,52,8.23,northern_hem
407,Salalah,17.02,54.09,80.6,88,75,8.05,northern_hem
408,Rūdbār,30.15,62.6,71.58,20,0,5.14,northern_hem
409,Mabaruma,8.2,-59.78,92.37,52,100,6.2,northern_hem
410,Yima,34.74,111.88,69.01,99,74,3.71,northern_hem
411,Bodden Town,19.28,-81.25,88.92,74,20,5.82,northern_hem
412,Arawa,-6.21,155.54,77.18,82,100,3.2,southern_hem
413,Mto wa Mbu,-3.35,35.85,77.92,43,38,9.44,southern_hem
414,Necochea,-38.55,-58.74,66.0,65,0,5.99,southern_hem
415,Boa Vista,2.82,-60.67,93.2,41,40,8.05,northern_hem
416,Levittown,40.16,-74.83,72.0,56,1,2.13,northern_hem
417,Rome,43.21,-75.46,66.4,68,1,2.64,northern_hem
418,Viedma,-40.81,-63.0,75.0,35,0,5.01,southern_hem
419,Boyabat,41.47,34.77,73.4,73,75,5.82,northern_hem
420,Bull Savanna,17.89,-77.59,84.83,69,93,10.58,northern_hem
421,Mbini,1.57,9.61,80.6,88,40,9.17,northern_hem
422,Chake Chake,-5.25,39.77,76.44,80,17,9.4,southern_hem
423,Laguna,38.42,-121.42,66.13,82,1,4.7,northern_hem
424,Vilyuysk,63.76,121.62,39.02,79,3,5.39,northern_hem
425,Igrim,63.19,64.42,39.25,90,18,2.26,northern_hem
426,Tual,-5.67,132.75,81.28,83,31,11.95,southern_hem
427,Cantaura,9.31,-64.36,88.54,58,100,10.76,northern_hem
428,Jalingo,8.88,11.37,82.0,77,87,3.87,northern_hem
429,Piney Green,34.72,-77.32,72.46,60,75,2.68,northern_hem
430,Alyangula,-13.85,136.42,73.4,83,0,5.39,southern_hem
431,Galveston,29.37,-94.97,72.45,78,90,6.93,northern_hem
432,Redmond,47.67,-122.12,57.04,90,100,1.01,northern_hem
433,San Cristobal,7.77,-72.22,89.6,52,40,4.7,northern_hem
434,Marco,25.97,-81.73,87.04,62,90,12.75,northern_hem
435,Pisco,-13.7,-76.22,63.64,88,90,6.93,southern_hem
436,Sherbakul',54.63,72.4,46.4,75,75,15.66,northern_hem
437,Maykor,59.01,55.88,43.77,79,68,3.85,northern_hem
438,Maun,-19.98,23.42,91.4,19,0,4.7,southern_hem
439,Victoria Point,-27.58,153.3,58.71,73,0,3.78,southern_hem
440,Port Lincoln,-34.73,135.87,46.89,69,73,19.33,southern_hem
441,Namatanai,-3.67,152.43,81.03,71,89,3.89,southern_hem
442,Morón,-34.65,-58.62,70.61,43,100,14.99,southern_hem
443,Sorata,-15.77,-68.63,96.85,10,0,10.65,southern_hem
444,Bac Lieu,9.29,105.72,80.08,83,78,7.83,northern_hem
445,Gazojak,41.19,61.4,69.06,22,0,10.07,northern_hem
446,Huaidian,33.43,115.03,69.19,64,68,1.61,northern_hem
447,Jertih,5.73,102.49,77.0,100,20,2.8,northern_hem
448,Laureles,26.11,-97.49,84.22,74,0,1.99,northern_hem
449,Sept-Îles,50.2,-66.38,60.94,41,75,11.41,northern_hem
450,Korhogo,9.45,-5.63,83.39,71,99,4.56,northern_hem
451,Kieta,-6.22,155.63,78.39,79,100,4.5,southern_hem
452,Ambon City,-3.7,128.18,79.23,83,100,7.43,southern_hem
453,Saint-Augustin,51.23,-58.65,58.55,62,93,16.67,northern_hem
454,Jardim,-21.48,-56.14,92.89,35,0,5.06,southern_hem
455,Nālūt,30.33,10.85,105.42,11,7,3.67,northern_hem
456,Chimoré,-16.98,-65.13,99.93,23,0,5.03,southern_hem
457,Aquin,18.28,-73.4,86.59,65,13,8.5,northern_hem
458,Hithadhoo,-0.6,73.08,82.67,61,53,3.76,southern_hem
459,Bereda,43.27,-7.54,55.33,95,87,10.0,northern_hem
460,Klaksvík,62.23,-6.59,44.6,81,40,12.75,northern_hem
461,Saint-François,46.42,3.91,62.33,88,100,8.05,northern_hem
462,Doka,13.52,35.77,84.79,67,99,4.81,northern_hem
463,Laranjeiras do Sul,-25.41,-52.42,80.73,38,0,3.42,southern_hem
464,Cortez,37.35,-108.59,62.44,22,1,4.14,northern_hem
465,Saint-Raymond,45.47,-73.61,61.45,87,90,6.93,northern_hem
466,Mirny,62.54,113.96,39.2,60,0,6.71,northern_hem
467,Ust'ye,59.63,39.74,57.42,87,7,5.77,northern_hem
468,Verkhniye Tatyshly,56.29,55.86,43.88,77,0,1.03,northern_hem
469,Duque de Caxias,-22.79,-43.31,78.3,61,75,8.05,southern_hem
470,Lata,40.16,-8.33,66.99,62,66,4.0,northern_hem
471,Celestún,20.87,-90.4,87.46,58,0,0.76,northern_hem
472,Najrān,17.49,44.13,89.6,14,3,4.7,northern_hem
473,Kathu,7.92,98.33,80.47,88,75,2.24,northern_hem
474,Sturgis,41.8,-85.42,69.82,68,1,8.05,northern_hem
475,Port Moresby,-9.44,147.18,78.8,78,40,17.22,southern_hem
476,Kütahya,39.42,29.98,73.4,40,75,4.7,northern_hem
477,Mocuba,-16.84,36.99,76.73,54,0,7.87,southern_hem
478,Matinha,-3.1,-45.03,94.12,42,43,3.87,southern_hem
479,Poya,-21.35,165.15,66.06,69,0,4.97,southern_hem
480,Geraldton,-28.77,114.6,60.8,93,40,5.82,southern_hem
481,Ahipara,-35.17,173.17,57.87,93,100,4.07,southern_hem
482,Viborg,56.45,9.4,55.47,82,75,8.05,northern_hem
483,Māndal,25.45,74.57,82.83,43,12,8.41,northern_hem
484,Kitui,-1.37,38.01,86.07,44,84,11.83,southern_hem
485,Dabeiba,7.0,-76.27,87.55,59,73,4.03,northern_hem
486,Port Macquarie,-31.43,152.92,46.44,96,0,6.02,southern_hem
487,Mumford,5.26,-0.76,78.21,80,26,10.74,northern_hem
488,Opunake,-39.46,173.86,47.95,97,5,1.01,southern_hem
489,Hasaki,35.73,140.83,66.36,94,75,14.99,northern_hem
490,Manicoré,-5.81,-61.3,89.6,62,1,5.82,southern_hem
491,Muros,42.78,-9.06,63.55,75,21,8.99,northern_hem
492,Tarragona,41.13,1.25,74.05,60,40,6.93,northern_hem
493,Saint Anthony,45.02,-93.22,67.8,64,1,4.7,northern_hem
494,Parkersburg,39.27,-81.56,70.68,72,1,0.38,northern_hem
495,Roseburg,43.22,-123.34,58.1,87,1,3.36,northern_hem
496,Kutum,14.2,24.67,101.7,17,99,13.6,northern_hem
497,Gijang,35.24,129.21,69.8,56,97,12.75,northern_hem
498,Steamboat Springs,40.48,-106.83,55.09,40,41,4.0,northern_hem
499,Batemans Bay,-35.72,150.18,36.72,91,99,5.3,southern_hem
