,City,lat,lon,temp_F,humidity,cloudiness,wind_mph,hemisphere
119,Ribeira Grande,38.52,-28.7,71.6,56,40,11.41,northern_hem
120,Jamestown,42.1,-79.24,69.15,72,1,6.93,northern_hem
121,Nhulunbuy,-12.23,136.77,75.2,88,34,4.88,southern_hem
122,Kahone,14.15,-16.03,93.2,59,40,7.2,northern_hem
123,Teknāf,20.86,92.31,80.82,84,100,5.21,northern_hem
124,Yellowknife,62.46,-114.35,47.8,100,90,12.75,northern_hem
125,Port Alfred,-33.59,26.89,68.88,72,45,7.23,southern_hem
126,Aklavik,68.22,-135.01,35.6,93,90,6.93,northern_hem
127,Ushuaia,-54.8,-68.3,48.2,49,40,14.99,southern_hem
128,Ponta do Sol,32.67,-17.1,74.62,61,20,4.7,northern_hem
129,Pontianak,-0.03,109.33,77.0,91,100,1.92,southern_hem
130,Kon Tum,14.35,108.0,70.79,92,100,1.16,northern_hem
131,Airai,-8.93,125.41,60.73,69,79,2.35,southern_hem
132,Hamilton,39.18,-84.53,71.19,68,75,1.23,northern_hem
133,Te Anau,-45.42,167.72,42.58,89,89,1.12,southern_hem
134,Kirn,49.78,7.45,61.72,72,20,17.22,northern_hem
135,Nam Som,17.77,102.19,76.77,85,4,1.19,northern_hem
136,Noumea,-22.28,166.46,59.0,87,20,2.24,southern_hem
137,Muravlenko,63.79,74.52,40.57,77,71,8.81,northern_hem
138,Chistogorskiy,53.98,87.38,42.62,90,99,6.82,northern_hem
139,Shizunai-furukawachō,42.33,142.37,55.08,74,53,13.02,northern_hem
140,Mackay,-21.15,149.2,66.79,94,0,3.36,southern_hem
141,Iqaluit,63.75,-68.51,38.21,64,90,14.99,northern_hem
142,Payson,40.04,-111.73,67.44,36,1,5.82,northern_hem
143,Limbang,4.75,115.0,82.2,83,75,1.12,northern_hem
144,Dukat,62.55,155.55,32.74,96,100,5.21,northern_hem
145,Poronaysk,49.22,143.12,49.3,84,0,4.9,northern_hem
146,Kidal,18.44,1.41,104.09,9,0,17.27,northern_hem
147,Shimoda,34.67,138.95,66.0,80,5,7.0,northern_hem
148,Briceni,48.36,27.7,70.0,60,81,3.98,northern_hem
149,Nizhniy Tsasuchey,50.52,115.13,44.64,70,44,3.69,northern_hem
150,Lompoc,34.64,-120.46,63.99,77,1,7.25,northern_hem
151,Mastic Beach,40.77,-72.85,74.48,41,1,8.05,northern_hem
152,Zolotonosha,49.67,32.04,66.07,42,95,3.06,northern_hem
153,Alibag,18.64,72.88,83.91,94,75,4.7,northern_hem
154,Cidreira,-30.18,-50.21,74.44,60,33,4.72,southern_hem
155,La Paz,-16.5,-68.15,53.6,40,20,9.17,southern_hem
156,Sarti,40.1,23.98,75.97,67,4,6.31,northern_hem
157,Kiunga,-6.12,141.29,73.18,98,100,2.3,southern_hem
158,Saldanha,-33.01,17.94,66.2,63,7,12.75,southern_hem
159,Balkanabat,39.51,54.37,76.05,16,0,10.38,northern_hem
160,Léo,11.1,-2.1,86.81,61,35,4.52,northern_hem
161,Qorveh,35.17,47.8,60.15,27,0,5.5,northern_hem
162,Ordynskoye,54.37,81.9,42.19,91,92,6.96,northern_hem
163,Antsohihy,-14.88,47.99,72.93,64,0,3.62,southern_hem
164,Tumbes,-3.57,-80.44,73.4,83,90,9.53,southern_hem
165,Deputatsky,69.3,139.9,32.49,93,31,4.56,northern_hem
166,Olinda,-8.01,-34.86,84.2,58,40,13.87,southern_hem
167,Zvenigovo,55.97,48.02,55.4,58,19,6.71,northern_hem
168,Beira,-19.84,34.84,73.33,68,20,8.05,southern_hem
169,Yumen,40.28,97.2,59.68,31,0,6.98,northern_hem
170,Ucluelet,48.93,-125.55,57.7,93,75,6.93,northern_hem
171,Warri,5.52,5.75,79.36,83,92,7.9,northern_hem
172,Souillac,-20.52,57.52,69.8,77,40,3.36,southern_hem
173,Grand Forks,47.93,-97.03,51.62,93,90,4.7,northern_hem
174,Cherskiy,68.75,161.3,29.03,94,35,1.39,northern_hem
175,Carbonia,39.17,8.52,85.39,51,20,14.99,northern_hem
176,Tasiilaq,65.61,-37.64,32.0,88,20,1.99,northern_hem
177,Cape Town,-33.93,18.42,66.0,70,0,1.01,southern_hem
178,Butaritari,3.07,172.79,81.14,78,100,18.03,northern_hem
179,Tamale,9.4,-0.84,84.67,68,99,2.28,northern_hem
180,Port Elizabeth,-33.92,25.57,66.2,88,20,5.82,southern_hem
181,Kalmunai,7.42,81.82,78.64,85,100,9.06,northern_hem
182,Cabo San Lucas,22.89,-109.91,87.13,55,5,10.29,northern_hem
183,Longyearbyen,78.22,15.64,33.8,69,75,6.93,northern_hem
184,Pelotas,-31.77,-52.34,74.82,62,69,4.41,southern_hem
185,Praia da Vitória,38.73,-27.07,69.46,68,75,12.44,northern_hem
186,Coquimbo,-29.95,-71.34,53.6,93,90,4.7,southern_hem
187,Igarka,67.47,86.58,42.21,90,82,10.76,northern_hem
188,Plast,54.37,60.81,41.92,76,31,8.48,northern_hem
189,Kavaratti,10.57,72.64,81.84,80,95,14.16,northern_hem
190,Guatire,10.48,-66.54,83.7,66,75,6.93,northern_hem
191,Fortuna,40.6,-124.16,63.63,100,40,1.57,northern_hem
192,Borogontsy,62.67,131.17,39.97,76,0,5.79,northern_hem
193,Kotido,2.98,34.13,76.44,56,63,6.33,northern_hem
194,Dikson,73.51,80.55,39.96,87,19,16.4,northern_hem
195,Bonga,7.28,36.23,62.37,88,83,0.27,northern_hem
196,Ferme-Neuve,46.7,-75.45,55.47,57,44,6.64,northern_hem
197,Kaitangata,-46.28,169.85,48.99,90,100,3.0,southern_hem
198,Anadyr,64.75,177.48,30.09,92,20,11.18,northern_hem
199,Mount Isa,-20.73,139.5,59.0,51,0,1.12,southern_hem
200,Touros,-5.2,-35.46,86.0,55,40,18.34,southern_hem
201,Caravelas,-17.71,-39.25,80.67,59,46,9.4,southern_hem
202,Sioux Lookout,50.1,-91.92,48.2,81,75,6.93,northern_hem
203,Codrington,-38.27,141.97,43.36,92,100,7.18,southern_hem
204,Sémbé,1.65,14.58,76.53,87,96,3.87,northern_hem
205,Chambéry,45.57,5.93,60.6,97,99,3.94,northern_hem
206,Roald,62.58,6.13,46.72,93,75,4.7,northern_hem
207,Río Gallegos,-51.62,-69.22,59.0,40,40,13.87,southern_hem
208,Prymors'k,46.73,36.34,68.5,61,30,6.87,northern_hem
209,Piojó,10.75,-75.11,77.18,88,75,5.7,northern_hem
210,Yangambi,0.81,24.43,75.38,86,100,3.6,northern_hem
211,Szczecinek,53.71,16.7,66.67,58,54,7.0,northern_hem
212,Chapais,49.78,-74.85,44.6,65,75,11.41,northern_hem
213,Bima,-8.47,118.72,76.62,86,95,4.29,southern_hem
214,Kaka,37.35,59.61,60.39,26,0,5.14,northern_hem
215,Kemijärvi,66.71,27.43,45.21,76,99,5.75,northern_hem
216,Ostrovnoy,68.05,39.51,46.99,72,92,4.88,northern_hem
217,Gürsu,40.22,29.19,78.8,44,58,4.7,northern_hem
218,Kaminskiy,57.15,41.47,58.73,89,100,5.68,northern_hem
219,Qaanaaq,77.48,-69.36,20.19,87,98,12.3,northern_hem
